Vehicle_ID,Region_Code,Odometer_Reading,Purchase_Date,Vehicle_Age_Years,Daily_Commute,Service_Type
VH-1143,North,39442,2021-07-10,3,38.60097035784412,Oil_Change
VH-1144,West,138772,2013-07-17,11,36.18657993228859,Major_Service
VH-1145,Central,21759,2022-05-03,3,28.33353883996891,Oil_Change
VH-1146,North,56488,2020-02-11,5,36.858737647681735,Tire_Rotation
VH-1147,South,179031,2011-04-03,14,45.23750457880386,Major_Service
VH-1148,Central,184905,2010-02-21,15,15.216806355485748,Major_Service
VH-1149,South,51241,2020-10-28,4,27.594900519732917,Oil_Change
VH-1150,Central,106089,2015-07-30,9,33.21659585228902,Major_Service
VH-1151,North,88313,2018-01-25,7,33.297836524371675,Tire_Rotation
VH-1152,East,136767,2013-12-30,11,43.49137524931075,Tire_Rotation
VH-1153,East,16521,2023-06-21,2,49.554198879611704,Oil_Change
VH-1154,North,157461,2011-07-14,13,27.77789755056163,Oil_Change
VH-1155,Central,73223,2018-11-19,6,25.6087197687732,Tire_Rotation
VH-1156,North,156187,2011-05-16,14,40.58356925414322,Major_Service
VH-1157,Central,159718,2012-06-22,13,35.02250336685155,Major_Service
VH-1158,North,49066,2020-12-18,4,26.315125030525664,Tire_Rotation
VH-1159,East,64039,2019-11-11,5,35.855126831234784,Tire_Rotation
VH-1160,South,92789,2017-03-14,8,23.967645341572375,Major_Service
VH-1161,West,52792,2019-07-18,5,29.68073025697595,Tire_Rotation
VH-1162,North,39814,2022-04-10,3,30.60970809221259,Oil_Change
VH-1163,North,123268,2014-02-04,11,21.788904240816752,Major_Service
VH-1164,Central,94250,2016-06-27,9,9.311636430632436,Major_Service
VH-1165,East,92173,2017-12-15,7,31.74683206265549,Major_Service
VH-1166,West,90426,2017-08-31,7,7.935579574868399,Major_Service
VH-1167,North,41548,2021-10-08,3,36.98295733877382,Oil_Change
VH-1168,West,26286,2023-05-03,2,19.516526648688206,Oil_Change
VH-1169,Central,40968,2021-01-21,4,42.76731450158881,Tire_Rotation
VH-1170,East,115532,2015-08-26,9,27.023629122026737,Major_Service
VH-1171,North,85280,2018-03-20,7,47.581217444856016,Tire_Rotation
VH-1172,North,114203,2015-08-15,9,35.29926930970209,Major_Service
VH-1173,West,182432,2010-03-15,15,37.46221218768966,Major_Service
VH-1174,Central,73101,2018-11-09,6,30.855288075783363,Tire_Rotation
VH-1175,East,26548,2022-01-03,3,16.85857825662735,Oil_Change
VH-1176,South,38814,2022-11-08,2,23.874480383283196,Oil_Change
VH-1177,South,37912,2021-02-17,4,43.50045792334346,Oil_Change
VH-1178,East,56468,2021-01-18,4,16.871463361620357,Tire_Rotation
VH-1179,West,140321,2013-05-01,12,27.797920651975044,Major_Service
VH-1180,Central,22786,2022-12-23,2,21.579335033579085,Oil_Change
VH-1181,Central,84151,2017-08-25,7,25.060586850045354,Major_Service
VH-1182,West,51585,2020-12-08,4,28.094888520786746,Tire_Rotation
VH-1183,East,79601,2018-06-21,7,31.554118918241397,Tire_Rotation
VH-1184,North,172084,2010-08-04,14,23.47880537024314,Major_Service
VH-1185,East,13004,2023-07-25,1,26.26504820231239,Oil_Change
VH-1186,East,144446,2012-12-19,12,15.668694101656753,Major_Service
VH-1187,North,93582,2016-11-18,8,39.81169441746548,Major_Service
VH-1188,Central,25504,2022-07-16,2,31.222866035774306,Oil_Change
VH-1189,Central,26038,2022-03-29,3,42.6047544123284,Oil_Change
VH-1190,East,104337,2016-11-16,8,32.57182880202122,Major_Service
VH-1191,Central,168893,2010-12-28,14,34.6604414567198,Major_Service
VH-1192,East,118466,2015-01-30,10,22.893329998234965,Major_Service
VH-1193,East,112318,2016-01-04,9,22.732593430962183,Major_Service
VH-1194,Central,57155,2020-06-01,5,42.732693537505924,Tire_Rotation
VH-1195,Central,21379,2022-09-22,2,28.547687042920934,Oil_Change
VH-1196,West,103563,2016-05-20,9,8.435123475713219,Major_Service
VH-1197,West,44144,2021-02-13,4,30.717699713332408,Tire_Rotation
VH-1198,Central,30627,2021-11-30,3,40.010022005752724,Oil_Change
VH-1199,North,186865,2010-02-19,15,44.80147704270954,Oil_Change
VH-1200,South,103105,2017-04-14,8,,Major_Service
VH-1201,South,170471,2011-04-21,14,33.40634115568795,Major_Service
VH-1202,West,106070,2015-08-28,9,20.544770420959374,Major_Service
VH-1203,West,158466,2011-08-22,13,,Major_Service
VH-1204,Central,36281,2021-12-21,3,30.314742438730494,Oil_Change
VH-1205,North,83120,2019-04-14,6,33.049573753294545,Tire_Rotation
VH-1206,South,44017,2021-11-30,3,35.589775639558056,Oil_Change
VH-1207,South,145630,2012-08-03,12,20.30540161718624,Major_Service
VH-1208,East,42109,2021-04-04,4,26.65050284327792,Tire_Rotation
VH-1209,East,72965,2019-05-31,6,42.509532695598025,Tire_Rotation
VH-1210,West,118532,2014-12-20,10,27.524041545764817,Major_Service
VH-1211,South,47195,2020-09-27,4,28.106904292302385,Tire_Rotation
VH-1212,East,33570,2022-04-28,3,24.464650921057157,Oil_Change
VH-1213,East,87866,2017-09-29,7,23.612990395011735,Major_Service
VH-1214,East,51633,2021-04-07,4,32.29754358877864,Tire_Rotation
VH-1215,Central,46982,2020-11-07,4,,Tire_Rotation
VH-1216,North,51071,2020-01-08,5,28.690864785277416,Tire_Rotation
VH-1217,West,97706,2017-07-06,7,42.42648562276773,Major_Service
VH-1218,East,176927,2010-08-09,14,,Major_Service
VH-1219,East,131038,2014-07-10,10,37.419761001152175,Major_Service
VH-1220,West,25256,2023-05-11,2,19.745008100042448,Oil_Change
VH-1221,South,47151,2021-07-19,3,,Tire_Rotation
VH-1222,East,38717,2021-03-29,4,29.911236908808274,Tire_Rotation
VH-1223,South,136636,2013-08-05,11,,Major_Service
VH-1224,North,43904,2021-04-04,4,33.249957252226885,Tire_Rotation
VH-1225,North,149094,2012-02-29,13,17.566486516065567,Major_Service
VH-1226,South,119120,2014-12-06,10,35.89336376373093,Major_Service
VH-1227,West,190402,2010-03-28,15,19.354267525817367,Major_Service
VH-1228,West,184661,2010-05-21,15,27.126035450745484,Major_Service
VH-1229,West,46970,2021-09-08,3,15.131015945611534,Oil_Change
VH-1230,West,60073,2020-02-10,5,31.606850776502142,Tire_Rotation
VH-1231,West,151370,2012-03-17,13,27.238613568683466,Oil_Change
VH-1232,East,169047,2010-12-04,14,31.303222678066316,Major_Service
VH-1233,West,66368,2018-09-06,6,17.33344540634732,Tire_Rotation
VH-1234,Central,147469,2012-05-08,13,,Major_Service
VH-1235,North,136774,2013-01-13,12,37.45837968130695,Major_Service
VH-1236,West,164118,2011-06-19,14,20.643292951709697,Major_Service
VH-1237,North,90810,2017-10-31,7,29.916885238667742,Major_Service
VH-1238,North,146967,2012-05-15,13,36.26272483021281,Major_Service
VH-1239,East,75014,2019-04-25,6,26.43250602742628,Tire_Rotation
VH-1240,North,46760,2021-06-01,4,32.92830702240612,Tire_Rotation
VH-1241,South,66001,2019-08-23,5,17.390886618413674,Tire_Rotation
VH-1242,South,95766,2016-06-15,9,18.76537885460889,Major_Service
VH-1243,North,119692,2015-03-02,10,29.314716215769586,Major_Service
VH-1244,West,176031,2010-04-07,15,42.950232073126934,Major_Service
VH-1245,South,134982,2014-05-27,11,11.054680313602734,Major_Service
VH-1246,Central,65688,2018-08-21,6,25.332402514931303,Tire_Rotation
VH-1247,East,121971,2015-01-11,10,35.80864184079329,Major_Service
VH-1248,North,51775,2020-07-30,4,8.639647683595634,Tire_Rotation
VH-1249,East,29351,2023-05-07,2,23.021412162440125,Oil_Change
VH-1250,East,89209,2017-09-21,7,30.20894966861962,Major_Service
VH-1251,North,60509,2019-10-29,5,,Tire_Rotation
VH-1252,South,121911,2015-05-19,10,16.262370360149383,Tire_Rotation
VH-1253,Central,106444,2015-01-23,10,23.37806060982947,Major_Service
VH-1254,West,34728,2022-04-03,3,32.78574845664361,Oil_Change
VH-1255,Central,23722,2023-03-06,2,41.34377888131704,Major_Service
VH-1256,Central,71177,2019-07-03,6,25.57626392169824,Tire_Rotation
VH-1257,East,168201,2010-06-01,15,22.320123089715523,Major_Service
VH-1258,West,149087,2013-01-31,12,22.849745345420608,Major_Service
VH-1259,West,106382,2016-08-14,8,36.78916133248716,Major_Service
VH-1260,West,190190,2010-01-26,15,29.89137799050614,Major_Service
VH-1261,North,25596,2021-11-24,3,50.20619668295936,Oil_Change
VH-1262,South,80551,2018-04-23,7,28.751789982082638,Tire_Rotation
VH-1263,Central,156521,2012-07-26,12,26.507047189153283,Major_Service
VH-1264,South,55621,2019-12-04,5,26.46835587253982,Tire_Rotation
VH-1265,North,114127,2015-09-28,9,26.068006885650178,Major_Service
VH-1266,South,123081,2015-07-07,9,20.260545442150637,Major_Service
VH-1267,East,66536,2019-02-19,6,16.17184935066989,Tire_Rotation
VH-1268,North,175431,2011-03-12,14,47.37206577228616,Major_Service
VH-1269,Central,87909,2017-07-22,7,21.091864023653606,Major_Service
VH-1270,South,59945,2019-04-07,6,44.54429950375974,Tire_Rotation
VH-1271,Central,108510,2016-03-24,9,36.46265050927563,Major_Service
VH-1272,West,40677,2021-06-16,4,42.14762428488464,Oil_Change
VH-1273,East,141197,2013-04-03,12,17.971500011962167,Major_Service
VH-1274,South,57154,2019-11-11,5,32.63543172169369,Tire_Rotation
VH-1275,Central,57200,2019-08-31,5,35.285913370131524,Tire_Rotation
VH-1276,East,103009,2016-01-10,9,25.15592095316342,Major_Service
VH-1277,South,22594,2022-11-23,2,26.64530673593551,Oil_Change
VH-1278,West,53632,2020-10-02,4,16.579561862165626,Oil_Change
VH-1279,East,34036,2021-11-19,3,15.957802644508574,Oil_Change
VH-1280,North,156803,2011-09-22,13,19.752533837030064,Major_Service
VH-1281,Central,109964,2015-11-25,9,34.43141907030323,Major_Service
VH-1282,Central,80955,2019-01-25,6,25.07700752448924,Tire_Rotation
VH-1283,North,114098,2016-01-22,9,24.38889580788013,Major_Service
VH-1284,South,157175,2011-08-17,13,36.23305653417249,Major_Service
VH-1285,West,35289,2022-06-27,3,40.91775756496675,Oil_Change
VH-1286,Central,42666,2021-08-30,3,31.446187877803283,Oil_Change
VH-1287,North,71480,2019-10-15,5,25.070131924863585,Tire_Rotation
VH-1288,East,130657,2013-10-05,11,23.512433050630513,Major_Service
VH-1289,North,66641,2018-11-28,6,23.108093023010333,Major_Service
VH-1290,South,135584,2014-05-17,11,,Major_Service
VH-1291,West,29513,2023-04-11,2,14.338559813151605,Oil_Change
VH-1292,East,169002,2011-05-17,14,2.4276058008049226,Major_Service
VH-1293,West,97345,2017-08-16,7,22.97983936580956,Major_Service
VH-1294,North,85743,2017-12-10,7,29.131539203867675,Tire_Rotation
VH-1295,Central,137479,2013-05-29,12,45.4774216975307,Major_Service
VH-1296,Central,78242,2018-12-07,6,29.390851919282824,Tire_Rotation
VH-1297,East,54335,2020-09-03,4,39.504934790685724,Tire_Rotation
VH-1298,North,85360,2017-10-07,7,,Major_Service
VH-1299,Central,101547,2016-12-27,8,23.99959574294989,Major_Service
VH-1300,Central,147531,2012-03-26,13,33.392759211991375,Major_Service
VH-1301,West,74418,2018-06-07,7,34.327747071751794,Tire_Rotation
VH-1302,East,147923,2012-07-26,12,40.14533064102139,Oil_Change
VH-1303,North,37428,2022-04-08,3,51.18753147780704,Oil_Change
VH-1304,Central,73450,2019-05-31,6,35.369648181161054,Tire_Rotation
VH-1305,West,170197,2010-07-29,14,19.802499111830755,Major_Service
VH-1306,South,117740,2015-06-03,10,43.2930676993308,Major_Service
VH-1307,South,51231,2021-02-09,4,,Tire_Rotation
VH-1308,Central,106986,2015-11-11,9,41.67514247106379,Major_Service
VH-1309,West,156448,2012-01-31,13,12.11660981994904,Major_Service
VH-1310,North,48397,2021-08-14,3,7.737916706688068,Oil_Change
VH-1311,North,28649,2022-04-17,3,25.93086062869297,Oil_Change
VH-1312,East,105163,2016-07-01,9,,Major_Service
VH-1313,South,172195,2010-05-17,15,29.69243178414233,Major_Service
VH-1314,West,113427,2016-01-14,9,26.66508458808526,Major_Service
VH-1315,South,163779,2012-03-31,13,32.72385013945845,Major_Service
VH-1316,East,52414,2020-06-06,5,25.72437948390732,Tire_Rotation
VH-1317,East,55251,2020-02-15,5,36.6844223444224,Tire_Rotation
VH-1318,East,166947,2010-12-24,14,28.373309910433363,Major_Service
VH-1319,West,146120,2012-07-27,12,48.23644015395196,Major_Service
VH-1320,North,48108,2020-03-14,5,26.619513241893756,Tire_Rotation
VH-1321,East,72173,2019-02-26,6,33.217964050743646,Tire_Rotation
VH-1322,North,77664,2018-07-21,6,37.58198237529817,Tire_Rotation
VH-1323,East,71921,2019-02-13,6,28.001013404521053,Tire_Rotation
VH-1324,North,108948,2015-07-01,10,33.39034979887247,Major_Service
VH-1325,North,40157,2021-03-15,4,9.714416741325486,Tire_Rotation
VH-1326,West,41988,2021-11-28,3,27.344908260663335,Oil_Change
VH-1327,North,96281,2016-10-12,8,28.030677260953617,Major_Service
VH-1328,North,42342,2021-06-02,4,26.786756817262805,Oil_Change
VH-1329,East,108520,2015-11-21,9,32.43062389648795,Major_Service
VH-1330,North,70586,2019-01-26,6,35.338530286024564,Tire_Rotation
VH-1331,South,35201,2023-02-11,2,39.99058882675949,Oil_Change
VH-1332,North,51145,2020-12-11,4,31.114564009779368,Tire_Rotation
VH-1333,East,118053,2015-05-02,10,38.09553375653492,Tire_Rotation
VH-1334,West,150088,2012-09-11,12,41.94888411876478,Major_Service
VH-1335,North,102541,2016-12-02,8,28.10845079133568,Major_Service
VH-1336,Central,17073,2023-05-22,2,35.04030386379249,Oil_Change
VH-1337,North,98031,2017-07-17,7,19.240336338774316,Major_Service
VH-1338,Central,65614,2019-09-24,5,29.515038043726765,Tire_Rotation
VH-1339,West,52830,2020-07-17,4,27.821873925561167,Tire_Rotation
VH-1340,East,70853,2019-10-04,5,40.839929869651634,Tire_Rotation
VH-1341,North,79155,2018-06-24,7,24.937845791617384,Tire_Rotation
VH-1342,South,32972,2022-08-24,2,33.650456259451865,Oil_Change
VH-1343,South,107190,2015-11-25,9,,Major_Service
VH-1344,Central,169316,2011-01-06,14,13.445359470284316,Major_Service
VH-1345,South,153005,2012-03-14,13,27.23202760887557,Major_Service
VH-1346,Central,111894,2015-06-14,10,37.03535586884687,Major_Service
VH-1347,North,135477,2013-05-28,12,32.39657674487733,Major_Service
VH-1348,South,60532,2019-10-20,5,26.088134355680943,Tire_Rotation
VH-1349,West,102595,2016-04-03,9,58.644748447612585,Major_Service
VH-1350,West,22147,2023-03-15,2,21.689883958572306,Oil_Change
VH-1351,North,104139,2015-08-30,9,15.20652456841588,Major_Service
VH-1352,West,54731,2020-01-13,5,25.167663281771564,Tire_Rotation
VH-1353,Central,131820,2013-12-10,11,,Major_Service
VH-1354,North,147643,2012-07-04,13,33.76681574140937,Major_Service
VH-1355,Central,71091,2019-01-26,6,36.070521455958165,Tire_Rotation
VH-1356,Central,182072,2010-01-19,15,30.3113915010264,Major_Service
VH-1357,Central,115052,2015-05-19,10,49.679608095922006,Major_Service
VH-1358,East,115576,2015-06-04,10,18.561129704431522,Major_Service
VH-1359,South,62772,2019-07-14,5,,Tire_Rotation
VH-1360,South,36503,2021-09-10,3,15.299281644218423,Oil_Change
VH-1361,Central,121614,2015-04-21,10,52.42883615969702,Major_Service
VH-1362,North,26995,2022-11-14,2,22.349238000885407,Oil_Change
VH-1363,South,82239,2017-11-04,7,17.19120498622262,Tire_Rotation
VH-1364,East,151357,2011-10-26,13,27.47257566973782,Major_Service
VH-1365,North,28994,2023-01-05,2,25.996528213004048,Oil_Change
VH-1366,West,120223,2014-04-02,11,51.16833198263054,Major_Service
VH-1367,South,108391,2015-03-09,10,36.101629055410896,Major_Service
VH-1368,North,123106,2015-07-20,9,42.02021525222808,Major_Service
VH-1369,East,67903,2019-09-05,5,10.222941624594426,Tire_Rotation
VH-1370,West,141715,2013-07-17,11,22.85530764965859,Major_Service
VH-1371,North,72722,2018-12-09,6,15.522022828931181,Tire_Rotation
VH-1372,East,108123,2015-06-24,10,19.825822981608543,Oil_Change
VH-1373,South,148363,2013-06-12,12,20.942038344057686,Major_Service
VH-1374,East,158550,2011-03-23,14,5.886480999733209,Major_Service
VH-1375,East,183584,2010-06-22,15,36.77382641497668,Major_Service
VH-1376,East,76425,2018-05-31,7,5.497260794613652,Tire_Rotation
VH-1377,South,156024,2011-07-24,13,,Major_Service
VH-1378,South,43370,2022-03-30,3,21.1056509207562,Oil_Change
VH-1379,West,64645,2019-11-23,5,12.750461113956582,Tire_Rotation
VH-1380,West,114609,2015-04-24,10,40.2366881578946,Major_Service
VH-1381,West,71214,2018-10-24,6,15.73732398177859,Tire_Rotation
VH-1382,South,72897,2019-04-01,6,35.91385535685482,Tire_Rotation
VH-1383,West,34735,2022-03-27,3,41.27563530971611,Oil_Change
VH-1384,East,63392,2019-07-12,5,,Tire_Rotation
VH-1385,South,127228,2013-12-09,11,27.36110062336421,Major_Service
VH-1386,South,69545,2019-03-29,6,8.245329246458986,Tire_Rotation
VH-1387,North,176098,2010-02-01,15,37.06543408647362,Major_Service
VH-1388,West,76835,2017-12-09,7,22.85773828460058,Tire_Rotation
VH-1389,South,149443,2012-08-08,12,60.37446533928524,Major_Service
VH-1390,West,37618,2022-04-12,3,24.534499272994395,Oil_Change
VH-1391,North,25739,2022-03-16,3,26.39599183228066,Oil_Change
VH-1392,North,144358,2012-12-29,12,40.98015755453165,Major_Service
VH-1393,East,22688,2022-11-22,2,38.41789804701722,Oil_Change
VH-1394,East,105259,2016-09-12,8,27.609469892206356,Major_Service
VH-1395,West,68154,2019-08-27,5,26.3263843563548,Tire_Rotation
VH-1396,Central,47447,2021-01-23,4,14.797131942767976,Tire_Rotation
VH-1397,South,82850,2018-02-14,7,38.604225428721975,Tire_Rotation
VH-1398,North,109958,2016-02-02,9,27.581888111826498,Major_Service
